epoch,accuracy,loss,val_accuracy,val_loss
0,0.4835265278816223,1.2227402925491333,0.7142857313156128,0.6198843717575073
1,0.6632092595100403,0.6980060935020447,0.7875458002090454,0.4243130385875702
2,0.7364246249198914,0.5492064952850342,0.7985348105430603,0.36417460441589355
3,0.7483221292495728,0.5046849846839905,0.811965823173523,0.34448936581611633
4,0.7824892997741699,0.41958460211753845,0.8205128312110901,0.3224196434020996
5,0.7925564646720886,0.4042810797691345,0.8083028197288513,0.32411232590675354
6,0.7977425456047058,0.37773528695106506,0.8363858461380005,0.30138665437698364
7,0.8068944215774536,0.35774871706962585,0.831501841545105,0.3143593370914459
8,0.8175716996192932,0.33074456453323364,0.8376068472862244,0.3091786205768585
9,0.8322147727012634,0.30331137776374817,0.8437118530273438,0.2958495020866394
0,0.7211714386940002,0.5500869750976562,0.8351648449897766,0.3369559943675995
1,0.7776082754135132,0.4198455810546875,0.7960928082466125,0.39728957414627075
2,0.7959121465682983,0.37137529253959656,0.7924298048019409,0.41963455080986023
3,0.8190969824790955,0.33194708824157715,0.7826617956161499,0.42645400762557983
